step,calibration,seed,fire_cells
0,california,0,2
1,california,0,3
2,california,0,5
3,california,0,8
4,california,0,13
5,california,0,24
6,california,0,40
7,california,0,59
8,california,0,80
9,california,0,108
10,california,0,128
11,california,0,149
12,california,0,175
13,california,0,197
14,california,0,211
15,california,0,225
16,california,0,238
17,california,0,245
18,california,0,243
19,california,0,245
20,california,0,229
21,california,0,219
22,california,0,223
23,california,0,196
24,california,0,185
25,california,0,162
26,california,0,136
27,california,0,128
28,california,0,85
29,california,0,65
30,california,0,46
31,california,0,45
32,california,0,29
33,california,0,24
34,california,0,7
35,california,0,4
36,california,0,4
37,california,0,2
38,california,0,0
39,california,0,0
40,california,0,0
41,california,0,0
42,california,0,0
43,california,0,0
44,california,0,0
45,california,0,0
46,california,0,0
47,california,0,0
48,california,0,0
49,california,0,0
50,california,0,0
51,california,0,0
52,california,0,0
53,california,0,0
54,california,0,0
55,california,0,0
56,california,0,0
57,california,0,0
58,california,0,0
59,california,0,0
60,california,0,0
61,california,0,0
62,california,0,0
63,california,0,0
64,california,0,0
65,california,0,0
66,california,0,0
67,california,0,0
68,california,0,0
69,california,0,0
70,california,0,0
71,california,0,0
72,california,0,0
73,california,0,0
74,california,0,0
75,california,0,0
76,california,0,0
77,california,0,0
78,california,0,0
79,california,0,0
80,california,0,0
81,california,0,0
82,california,0,0
83,california,0,0
84,california,0,0
85,california,0,0
86,california,0,0
87,california,0,0
88,california,0,0
89,california,0,0
90,california,0,0
91,california,0,0
92,california,0,0
93,california,0,0
94,california,0,0
95,california,0,0
96,california,0,0
97,california,0,0
98,california,0,0
99,california,0,0
0,california,1,2
1,california,1,4
2,california,1,5
3,california,1,6
4,california,1,12
5,california,1,22
6,california,1,28
7,california,1,42
8,california,1,59
9,california,1,81
10,california,1,110
11,california,1,143
12,california,1,165
13,california,1,187
14,california,1,212
15,california,1,229
16,california,1,231
17,california,1,242
18,california,1,257
19,california,1,252
20,california,1,236
21,california,1,226
22,california,1,194
23,california,1,184
24,california,1,169
25,california,1,158
26,california,1,141
27,california,1,121
28,california,1,85
29,california,1,75
30,california,1,65
31,california,1,40
32,california,1,38
33,california,1,26
34,california,1,23
35,california,1,23
36,california,1,20
37,california,1,9
38,california,1,5
39,california,1,3
40,california,1,3
41,california,1,2
42,california,1,2
43,california,1,0
44,california,1,0
45,california,1,0
46,california,1,0
47,california,1,0
48,california,1,0
49,california,1,0
50,california,1,0
51,california,1,0
52,california,1,0
53,california,1,0
54,california,1,0
55,california,1,0
56,california,1,0
57,california,1,0
58,california,1,0
59,california,1,0
60,california,1,0
61,california,1,0
62,california,1,0
63,california,1,0
64,california,1,0
65,california,1,0
66,california,1,0
67,california,1,0
68,california,1,0
69,california,1,0
70,california,1,0
71,california,1,0
72,california,1,0
73,california,1,0
74,california,1,0
75,california,1,0
76,california,1,0
77,california,1,0
78,california,1,0
79,california,1,0
80,california,1,0
81,california,1,0
82,california,1,0
83,california,1,0
84,california,1,0
85,california,1,0
86,california,1,0
87,california,1,0
88,california,1,0
89,california,1,0
90,california,1,0
91,california,1,0
92,california,1,0
93,california,1,0
94,california,1,0
95,california,1,0
96,california,1,0
97,california,1,0
98,california,1,0
99,california,1,0
0,california,2,2
1,california,2,5
2,california,2,8
3,california,2,9
4,california,2,16
5,california,2,26
6,california,2,33
7,california,2,42
8,california,2,49
9,california,2,62
10,california,2,72
11,california,2,89
12,california,2,107
13,california,2,125
14,california,2,151
15,california,2,177
16,california,2,190
17,california,2,203
18,california,2,216
19,california,2,224
20,california,2,240
21,california,2,238
22,california,2,234
23,california,2,233
24,california,2,215
25,california,2,189
26,california,2,157
27,california,2,149
28,california,2,126
29,california,2,119
30,california,2,92
31,california,2,75
32,california,2,53
33,california,2,42
34,california,2,46
35,california,2,36
36,california,2,31
37,california,2,24
38,california,2,18
39,california,2,22
40,california,2,14
41,california,2,8
42,california,2,4
43,california,2,2
44,california,2,3
45,california,2,1
46,california,2,2
47,california,2,0
48,california,2,0
49,california,2,0
50,california,2,0
51,california,2,0
52,california,2,0
53,california,2,0
54,california,2,0
55,california,2,0
