#{"t_start": 1777575685.8766642, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-188.3,100,0.365496,0,0,0,0.0,0
-203.8,100,0.448735,0,0,0,0.0,0
-214.1,100,0.523481,0,0,0,0.0,0
-43.7,100,0.612164,0,0,0,0.0,0
-210.8,100,0.692937,0,0,0,0.0,0
-198.7,100,0.765122,0,0,0,0.0,0
-104.0,100,0.863523,0,0,0,0.0,0
-210.9,100,0.942583,0,0,0,0.0,0
-192.1,100,1.024079,0,0,0,0.0,0
-221.4,100,1.096957,0,0,0,0.0,0
-119.6,100,1.187907,0,0,0,0.0,0
-223.6,100,1.276206,0,0,0,0.0,0
0.2,100,1.359406,0,0,0,0.0,0
-218.5,100,1.436319,0,0,0,0.0,0
-201.3,100,1.518689,0,0,0,0.0,0
-71.8,100,1.603871,0,0,0,0.0,0
-213.1,100,1.687958,0,0,0,0.0,0
-159.3,100,1.77291,0,0,0,0.0,0
-195.9,100,1.852324,0,0,0,0.0,0
-193.3,100,1.929085,0,0,0,0.0,0
-211.1,100,3.012313,0,0,0,0.0,0
-179.1,100,3.109578,0,0,0,0.0,0
-223.7,100,3.194589,0,0,0,0.0,0
-208.2,100,3.269239,0,0,0,0.0,0
-150.3,100,3.352179,0,0,0,0.0,0
-185.3,100,3.435953,0,0,0,0.0,0
-225.5,100,3.514138,0,0,0,0.0,0
-203.4,100,3.605637,0,0,0,0.0,0
-209.3,100,3.698577,0,0,0,0.0,0
-199.6,100,3.778723,0,0,0,0.0,0
-214.8,100,3.873502,0,0,0,0.0,0
-199.5,100,3.960972,0,0,0,0.0,0
-220.2,100,4.038173,0,0,0,0.0,0
-200.9,100,4.128018,0,0,0,0.0,0
-190.5,100,4.220294,0,0,0,0.0,0
-109.0,100,4.311706,0,0,0,0.0,0
-201.2,100,4.388161,0,0,0,0.0,0
-208.0,100,4.469337,0,0,0,0.0,0
-143.8,100,4.555971,0,0,0,0.0,0
-216.9,100,4.636333,0,0,0,0.0,0
-90.8,100,5.720027,0,0,0,0.0,0
-197.3,100,5.786309,0,0,0,0.0,0
-207.8,100,5.872333,0,0,0,0.0,0
-214.6,100,5.952086,0,0,0,0.0,0
-216.7,100,6.033165,5,0,0,0.0,2
-78.8,100,6.117881,0,0,0,0.0,0
-200.2,100,6.197122,0,0,0,0.0,0
-211.6,100,6.276461,0,0,0,0.0,0
-168.4,100,6.360877,0,0,0,0.0,0
-208.8,100,6.437,0,0,0,0.0,0
-207.5,100,6.521013,0,0,0,0.0,0
-200.1,100,6.606519,0,0,0,0.0,0
-191.7,100,6.678705,0,0,0,0.0,0
-185.5,100,6.770556,0,0,0,0.0,0
-214.1,100,6.849515,0,0,0,0.0,0
-139.9,100,6.936121,0,0,0,0.0,0
-220.9,100,7.023864,0,0,0,0.0,0
-212.6,100,7.104398,0,0,0,0.0,0
-208.0,100,7.189988,0,0,0,0.0,0
-191.8,100,7.264197,0,0,0,0.0,0
-203.9,100,7.346835,0,0,0,0.0,0
-210.8,100,8.418406,0,0,0,0.0,0
