scenario,ca_mean,ca_std,ca_ci95,ca_min,ca_max,sa_mean,sa_std,sa_ci95,sa_min,sa_max,drop,ca_suppression,ca_burned,sa_suppression,sa_burned,baseline_burned,ca_efficiency,sa_efficiency
high_wind,-121.2300,64.8020,23.1891,-215.0000,-2.5000,-97.8100,76.6371,27.4242,-225.5000,2.0000,23.4200,53.3,54.3,100.0,41.2,50.9,-0.0637,0.0970
low_fuel,-14.5367,13.2360,4.7365,-54.8000,0.9000,-13.9200,17.9664,6.4292,-69.3000,2.0000,0.6167,86.3,15.6,100.0,15.3,40.2,0.2847,0.2490
oasis_cluster,-383.1367,16.0046,5.7272,-412.8000,-345.4000,-263.0733,159.5026,57.0773,-448.2000,2.0000,120.0633,59.2,99.1,100.0,67.4,99.4,0.0056,0.3200
multi_ignition,-186.0533,24.5011,8.7676,-222.7000,-136.1000,-128.8967,56.6101,20.2577,-230.5000,-49.1000,57.1567,72.1,87.5,100.0,58.9,94.2,0.0930,0.3530
narrow_corridor,-12.2733,23.5359,8.4222,-88.2000,1.8000,-7.2300,19.0231,6.8073,-86.4000,2.0000,5.0433,97.6,11.5,100.0,8.9,34.3,0.2332,0.2543
extreme_wind,-153.4233,65.7500,23.5283,-245.8000,-7.2000,-120.7100,98.4673,35.2361,-336.6000,2.0000,32.7133,52.7,64.2,100.0,47.3,59.6,-0.0867,0.1227
fuel_depletion,1.2467,0.7775,0.2782,-2.4000,1.8000,1.1567,0.6520,0.2333,-0.4000,2.0000,-0.0900,76.8,2.8,100.0,2.6,3.6,0.0109,0.0103
random_terrain,-172.6133,45.6320,16.3292,-220.9000,1.4000,-73.3200,75.2195,26.9169,-206.3000,2.0000,99.2933,78.9,79.5,100.0,32.3,92.3,0.1618,0.6003
delayed_ignition,-191.3000,38.1405,13.6484,-223.7000,-64.3000,-98.5533,78.7721,28.1882,-219.0000,-0.4000,92.7467,66.7,87.0,100.0,44.0,95.2,0.1235,0.5117
dense_population,-186.7633,51.6991,18.5003,-226.8000,0.8000,-80.8933,72.3808,25.9012,-214.1000,2.0000,105.8700,56.8,85.5,89.2,37.1,92.7,0.1268,0.6227
