scenario,model,episode_id,reward
high_wind,CA,1,-38.4000
high_wind,CA,2,-59.0000
high_wind,CA,3,-172.4000
high_wind,CA,4,-82.3000
high_wind,CA,5,-53.0000
high_wind,CA,6,-188.2000
high_wind,CA,7,-163.4000
high_wind,CA,8,-19.2000
high_wind,CA,9,-50.9000
high_wind,CA,10,-99.4000
high_wind,CA,11,-175.2000
high_wind,CA,12,-192.4000
high_wind,CA,13,-159.9000
high_wind,CA,14,-39.5000
high_wind,CA,15,-207.0000
high_wind,CA,16,-209.5000
high_wind,CA,17,-160.4000
high_wind,CA,18,-21.0000
high_wind,CA,19,-88.6000
high_wind,CA,20,-65.9000
high_wind,CA,21,-94.3000
high_wind,CA,22,-199.8000
high_wind,CA,23,-159.8000
high_wind,CA,24,-144.9000
high_wind,CA,25,-94.8000
high_wind,CA,26,-147.0000
high_wind,CA,27,-162.3000
high_wind,CA,28,-2.5000
high_wind,CA,29,-215.0000
high_wind,CA,30,-170.9000
high_wind,SA,1,-48.2000
high_wind,SA,2,-48.3000
high_wind,SA,3,-178.5000
high_wind,SA,4,2.0000
high_wind,SA,5,1.8000
high_wind,SA,6,-187.6000
high_wind,SA,7,-100.3000
high_wind,SA,8,-49.7000
high_wind,SA,9,-23.2000
high_wind,SA,10,-172.2000
high_wind,SA,11,-206.2000
high_wind,SA,12,-179.6000
high_wind,SA,13,-143.5000
high_wind,SA,14,1.8000
high_wind,SA,15,-188.6000
high_wind,SA,16,-225.5000
high_wind,SA,17,-71.9000
high_wind,SA,18,-46.7000
high_wind,SA,19,-71.1000
high_wind,SA,20,-52.1000
high_wind,SA,21,-91.3000
high_wind,SA,22,-148.2000
high_wind,SA,23,-209.0000
high_wind,SA,24,-48.0000
high_wind,SA,25,-63.6000
high_wind,SA,26,-1.3000
high_wind,SA,27,-166.6000
high_wind,SA,28,-11.1000
high_wind,SA,29,1.3000
high_wind,SA,30,-208.9000
low_fuel,CA,1,-8.1000
low_fuel,CA,2,0.1000
low_fuel,CA,3,-10.3000
low_fuel,CA,4,-1.0000
low_fuel,CA,5,-17.2000
low_fuel,CA,6,-36.3000
low_fuel,CA,7,-7.2000
low_fuel,CA,8,-22.7000
low_fuel,CA,9,-4.8000
low_fuel,CA,10,-5.6000
low_fuel,CA,11,-19.3000
low_fuel,CA,12,-8.5000
low_fuel,CA,13,-12.8000
low_fuel,CA,14,-54.8000
low_fuel,CA,15,-17.7000
low_fuel,CA,16,-18.3000
low_fuel,CA,17,-9.4000
low_fuel,CA,18,-29.5000
low_fuel,CA,19,-24.3000
low_fuel,CA,20,0.9000
low_fuel,CA,21,-42.3000
low_fuel,CA,22,-15.1000
low_fuel,CA,23,-8.9000
low_fuel,CA,24,-27.2000
low_fuel,CA,25,-5.5000
low_fuel,CA,26,-0.6000
low_fuel,CA,27,-0.8000
low_fuel,CA,28,0.8000
low_fuel,CA,29,-20.7000
low_fuel,CA,30,-9.0000
low_fuel,SA,1,-1.4000
low_fuel,SA,2,-0.5000
low_fuel,SA,3,-4.2000
low_fuel,SA,4,2.0000
low_fuel,SA,5,1.8000
low_fuel,SA,6,-21.4000
low_fuel,SA,7,-29.8000
low_fuel,SA,8,-19.1000
low_fuel,SA,9,-0.3000
low_fuel,SA,10,-18.2000
low_fuel,SA,11,-69.3000
low_fuel,SA,12,-15.6000
low_fuel,SA,13,-49.3000
low_fuel,SA,14,1.8000
low_fuel,SA,15,-23.2000
low_fuel,SA,16,1.8000
low_fuel,SA,17,-15.6000
low_fuel,SA,18,-5.3000
low_fuel,SA,19,-21.9000
low_fuel,SA,20,-13.2000
low_fuel,SA,21,-27.0000
low_fuel,SA,22,1.4000
low_fuel,SA,23,-0.7000
low_fuel,SA,24,1.3000
low_fuel,SA,25,-24.5000
low_fuel,SA,26,0.4000
low_fuel,SA,27,-1.2000
low_fuel,SA,28,-13.2000
low_fuel,SA,29,1.3000
low_fuel,SA,30,-54.5000
oasis_cluster,CA,1,-360.6000
oasis_cluster,CA,2,-381.2000
oasis_cluster,CA,3,-345.4000
oasis_cluster,CA,4,-390.4000
