#{"t_start": 1777574821.3629181, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-28.9,100,0.437372,0,0,0,0.0,0
-180.5,100,0.531684,0,0,0,0.0,0
-194.5,100,0.645425,0,0,0,0.0,0
-56.2,100,0.768242,0,0,0,0.0,0
-163.1,100,0.869483,0,0,0,0.0,0
-150.8,100,0.970277,0,0,0,0.0,0
-202.5,100,1.066483,0,0,0,0.0,0
-115.9,100,1.169541,0,0,0,0.0,0
-158.2,100,1.268738,0,0,0,0.0,0
-178.6,100,1.366687,0,0,0,0.0,0
-13.3,100,1.467513,0,0,0,0.0,0
-192.8,100,1.56736,0,0,0,0.0,0
-174.8,100,1.667098,0,0,0,0.0,0
-190.4,100,1.76492,0,0,0,0.0,0
-55.7,100,1.859862,0,0,0,0.0,0
-110.8,100,1.964033,0,0,0,0.0,0
-169.2,100,2.058776,0,0,0,0.0,0
-38.0,100,2.159039,0,0,0,0.0,0
-60.2,100,2.267665,0,0,0,0.0,0
-0.1,100,2.3601,0,0,0,0.0,0
-84.8,100,3.726233,0,0,0,0.0,0
-198.8,100,3.848105,0,0,0,0.0,0
-44.5,100,3.962456,0,0,0,0.0,0
-206.7,100,4.06407,0,0,0,0.0,0
-53.6,100,4.168152,0,0,0,0.0,0
-183.7,100,4.267381,0,0,0,0.0,0
-89.0,100,4.368159,0,0,0,0.0,0
-147.8,100,4.459238,0,0,0,0.0,0
-145.7,100,4.564219,0,0,0,0.0,0
-172.4,100,4.666148,0,0,0,0.0,0
1.3,100,4.779254,0,0,0,0.0,0
-206.5,100,4.883668,0,0,0,0.0,0
-36.4,100,4.99366,0,0,0,0.0,0
-164.6,100,5.085217,0,0,0,0.0,0
-1.9,100,5.197658,0,0,0,0.0,0
-27.7,100,5.302069,0,0,0,0.0,0
-185.4,100,5.402454,0,0,0,0.0,0
-231.8,100,5.501887,0,0,0,0.0,0
0.4,100,5.599669,0,0,0,0.0,0
-169.6,100,5.701972,0,0,0,0.0,0
-229.1,100,7.075481,0,0,0,0.0,0
-184.0,100,7.179464,0,0,0,0.0,0
-138.0,100,7.276542,0,0,0,0.0,0
-148.7,100,7.376531,0,0,0,0.0,0
-0.3,100,7.482348,0,0,0,0.0,0
-90.9,100,7.584693,0,0,0,0.0,0
-209.2,100,7.684574,0,0,0,0.0,0
-205.5,100,7.778111,0,0,0,0.0,0
-169.2,100,7.882777,0,0,0,0.0,0
-140.0,100,7.978584,0,0,0,0.0,0
-46.8,100,8.08667,0,0,0,0.0,0
