scenario,ca_mean,ca_std,ca_ci95,ca_min,ca_max,sa_mean,sa_std,sa_ci95,sa_min,sa_max,drop,ca_suppression,ca_burned,sa_suppression,sa_burned,baseline_burned,ca_efficiency,sa_efficiency
high_wind,-48.7000,10.3000,14.2751,-59.0000,-38.4000,-48.2500,0.0500,0.0693,-48.3000,-48.2000,0.4500,100.0,26.0,100.0,21.5,29.0,0.0300,0.0750
low_fuel,-4.0000,4.1000,5.6823,-8.1000,0.1000,-0.9500,0.4500,0.6237,-1.4000,-0.5000,3.0500,100.0,6.5,100.0,3.0,20.5,0.1400,0.1750
oasis_cluster,-376.5000,15.7000,21.7591,-392.2000,-360.8000,-283.7500,142.1500,197.0098,-425.9000,-141.6000,92.7500,65.0,99.5,100.0,63.5,99.0,-0.0077,0.3550
multi_ignition,-191.5500,8.4500,11.7111,-200.0000,-183.1000,-90.2000,20.9000,28.9659,-111.1000,-69.3000,101.3500,62.0,90.5,100.0,43.0,94.5,0.0645,0.5150
narrow_corridor,-7.6500,9.1500,12.6813,-16.8000,1.5000,1.4000,0.1000,0.1386,1.3000,1.5000,9.0500,100.0,8.0,100.0,3.0,24.0,0.1600,0.2100
extreme_wind,-85.3500,24.3500,33.7474,-109.7000,-61.0000,-189.1000,147.5000,204.4246,-336.6000,-41.6000,-103.7500,99.0,35.5,100.0,56.5,40.0,0.0455,-0.1650
fuel_depletion,1.2000,0.1000,0.1386,1.1000,1.3000,1.1000,0.0000,0.0000,1.1000,1.1000,-0.1000,100.0,3.0,100.0,2.5,3.5,0.0050,0.0100
random_terrain,-130.3500,15.7500,21.8284,-146.1000,-114.6000,-1.6500,0.5500,0.7623,-2.2000,-1.1000,128.7000,100.0,60.5,100.0,2.5,87.0,0.2650,0.8450
delayed_ignition,-203.9000,0.3000,0.4158,-204.2000,-203.6000,-40.9500,39.7500,55.0907,-80.7000,-1.2000,162.9500,100.0,92.0,100.0,14.0,96.0,0.0400,0.8200
dense_population,-201.5500,12.5500,17.3934,-214.1000,-189.0000,-37.2000,37.1000,51.4180,-74.3000,-0.1000,164.3500,100.0,91.0,100.0,15.0,88.5,-0.0250,0.7350
