scenario,model,episode_id,reward
high_wind,CA,1,-38.4000
high_wind,CA,2,-59.0000
high_wind,SA,1,-48.2000
high_wind,SA,2,-48.3000
low_fuel,CA,1,-8.1000
low_fuel,CA,2,0.1000
low_fuel,SA,1,-1.4000
low_fuel,SA,2,-0.5000
oasis_cluster,CA,1,-360.8000
oasis_cluster,CA,2,-392.2000
oasis_cluster,SA,1,-141.6000
oasis_cluster,SA,2,-425.9000
multi_ignition,CA,1,-183.1000
multi_ignition,CA,2,-200.0000
multi_ignition,SA,1,-111.1000
multi_ignition,SA,2,-69.3000
narrow_corridor,CA,1,-16.8000
narrow_corridor,CA,2,1.5000
narrow_corridor,SA,1,1.3000
narrow_corridor,SA,2,1.5000
extreme_wind,CA,1,-61.0000
extreme_wind,CA,2,-109.7000
extreme_wind,SA,1,-41.6000
extreme_wind,SA,2,-336.6000
fuel_depletion,CA,1,1.1000
fuel_depletion,CA,2,1.3000
fuel_depletion,SA,1,1.1000
fuel_depletion,SA,2,1.1000
random_terrain,CA,1,-114.6000
random_terrain,CA,2,-146.1000
random_terrain,SA,1,-2.2000
random_terrain,SA,2,-1.1000
delayed_ignition,CA,1,-203.6000
delayed_ignition,CA,2,-204.2000
delayed_ignition,SA,1,-80.7000
delayed_ignition,SA,2,-1.2000
dense_population,CA,1,-189.0000
dense_population,CA,2,-214.1000
dense_population,SA,1,-74.3000
dense_population,SA,2,-0.1000
