step,california_mean,california_std,saudi_mean,saudi_std
0,2.00,0.00,2.00,0.00
1,3.67,0.94,4.67,0.94
2,8.33,4.50,14.00,4.55
3,15.67,8.99,22.67,1.70
4,20.67,11.59,39.33,2.87
5,32.67,18.37,63.67,5.56
6,43.00,21.60,86.00,10.61
7,58.00,26.87,105.67,22.43
8,74.00,35.33,121.33,30.68
9,89.67,34.93,127.00,31.79
10,105.67,37.99,130.67,42.90
11,120.00,38.79,126.00,48.64
12,135.67,41.90,111.67,49.36
13,150.00,45.61,108.67,42.46
14,155.33,39.67,105.67,40.00
15,170.00,31.84,92.67,30.92
16,175.00,29.88,76.00,25.51
17,188.00,32.07,68.00,23.15
18,185.33,26.55,70.33,25.85
19,188.67,29.41,50.67,23.17
20,189.67,24.23,48.33,21.79
21,187.67,35.12,46.00,20.93
22,185.67,25.49,42.67,22.94
23,182.67,27.52,41.00,21.65
24,175.00,26.17,42.67,23.34
25,158.67,21.08,40.33,18.80
26,155.33,22.88,34.67,20.40
27,144.33,19.96,20.33,13.96
28,126.00,22.23,23.00,14.14
29,117.00,25.39,16.33,10.50
30,99.00,23.04,18.67,11.61
31,87.33,29.69,16.33,8.58
32,69.33,25.93,14.67,3.68
33,59.33,28.80,12.67,5.44
34,47.00,27.94,11.00,5.10
35,39.00,26.19,8.00,5.72
36,31.00,28.30,10.33,9.53
37,22.00,19.80,8.33,7.41
38,20.67,17.21,7.67,8.18
39,16.67,15.80,9.33,8.22
40,16.00,14.17,12.67,12.12
41,13.67,15.84,14.00,10.71
42,10.33,13.20,13.00,12.03
43,8.67,12.26,12.00,10.71
44,7.00,9.90,17.67,14.70
45,5.67,8.01,14.33,13.82
46,5.33,7.54,11.67,10.78
47,4.00,5.66,11.33,10.34
48,4.00,5.66,11.00,8.98
49,2.67,3.77,10.67,7.93
