step,calibration,seed,fire_cells
0,saudi,0,2
1,saudi,0,4
2,saudi,0,9
3,saudi,0,26
4,saudi,0,43
5,saudi,0,70
6,saudi,0,97
7,saudi,0,123
8,saudi,0,140
9,saudi,0,157
10,saudi,0,148
11,saudi,0,125
12,saudi,0,113
13,saudi,0,105
14,saudi,0,86
15,saudi,0,76
16,saudi,0,66
17,saudi,0,60
18,saudi,0,56
19,saudi,0,42
20,saudi,0,46
21,saudi,0,41
22,saudi,0,46
23,saudi,0,43
24,saudi,0,21
25,saudi,0,20
26,saudi,0,12
27,saudi,0,17
28,saudi,0,13
29,saudi,0,23
30,saudi,0,22
31,saudi,0,14
32,saudi,0,16
33,saudi,0,11
34,saudi,0,12
35,saudi,0,13
36,saudi,0,10
37,saudi,0,7
38,saudi,0,4
39,saudi,0,4
40,saudi,0,5
41,saudi,0,4
42,saudi,0,5
43,saudi,0,8
44,saudi,0,8
45,saudi,0,10
46,saudi,0,8
47,saudi,0,11
48,saudi,0,16
49,saudi,0,24
50,saudi,0,21
51,saudi,0,23
52,saudi,0,30
53,saudi,0,31
54,saudi,0,22
55,saudi,0,25
56,saudi,0,28
57,saudi,0,27
58,saudi,0,30
59,saudi,0,30
60,saudi,0,27
61,saudi,0,25
62,saudi,0,21
63,saudi,0,14
64,saudi,0,11
65,saudi,0,14
66,saudi,0,9
67,saudi,0,9
68,saudi,0,7
69,saudi,0,11
70,saudi,0,9
71,saudi,0,11
72,saudi,0,16
73,saudi,0,16
74,saudi,0,9
75,saudi,0,9
76,saudi,0,8
77,saudi,0,4
78,saudi,0,5
79,saudi,0,6
80,saudi,0,9
81,saudi,0,8
82,saudi,0,8
83,saudi,0,7
84,saudi,0,10
85,saudi,0,5
86,saudi,0,6
87,saudi,0,5
88,saudi,0,6
89,saudi,0,6
90,saudi,0,3
91,saudi,0,6
92,saudi,0,3
93,saudi,0,5
94,saudi,0,3
95,saudi,0,4
96,saudi,0,7
97,saudi,0,7
98,saudi,0,6
99,saudi,0,8
0,saudi,1,2
1,saudi,1,5
2,saudi,1,10
3,saudi,1,22
4,saudi,1,40
5,saudi,1,77
6,saudi,1,121
7,saudi,1,182
8,saudi,1,213
9,saudi,1,250
10,saudi,1,254
11,saudi,1,255
12,saudi,1,242
13,saudi,1,214
